product_id,category,brand,is_amazon_owned
94,Home,"Walker, Stewart and Haney",False
95,Electronics,Mitchell-Rios,False
96,Home,Brown-Graham,True
97,Home,James Inc,False
98,Books,Thomas-Sandoval,False
99,Electronics,"Swanson, Harrington and Baldwin",True
100,Fashion,Strickland LLC,False
101,Fashion,Roberts-Howard,False
102,Home,Weber Group,True
103,Books,Ramirez PLC,True
104,Electronics,Galvan PLC,False
105,Fashion,Ali-Bennett,True
106,Fashion,"Baker, Collins and Murphy",False
107,Home,Cunningham and Sons,True
108,Home,"Delgado, Noble and Castillo",False
109,Home,Sweeney Group,False
110,Electronics,"Rodriguez, Johnson and Hayden",False
111,Fashion,"Vazquez, Odom and Jones",True
112,Fashion,"Brooks, Peterson and Morris",True
113,Electronics,Smith and Sons,True
114,Electronics,"Freeman, Evans and Malone",True
115,Books,Lynch Group,False
116,Fashion,Kim LLC,True
117,Electronics,Spencer-Shaffer,False
118,Home,"Buchanan, Johnson and Taylor",False
119,Books,Lewis-Watson,True
120,Books,Fritz-Walters,False
121,Electronics,"Martin, Hicks and Anderson",False
122,Electronics,Hall-Hill,False
123,Electronics,Peterson LLC,False
124,Electronics,Skinner Ltd,False
125,Electronics,Stephens-Gregory,False
126,Fashion,"Gentry, Hogan and Thompson",False
127,Fashion,Johnson Inc,True
128,Books,West Group,False
129,Fashion,"Hahn, Nguyen and Smith",False
130,Fashion,Hughes-Reynolds,True
131,Books,Coleman Ltd,False
132,Books,Koch Ltd,True
133,Electronics,Simmons-Frey,False
134,Electronics,"Wood, Douglas and Silva",False
135,Books,Rubio-Aguirre,True
136,Books,"Orr, Foster and Woodard",True
137,Books,Hodge LLC,False
138,Books,Johnston-Friedman,False
139,Fashion,Mitchell PLC,True
140,Books,Collins-Torres,True
141,Books,Watkins Inc,True
142,Home,Mcbride Group,False
143,Home,Nelson Inc,False
144,Electronics,Case Group,True
145,Home,Beasley-Davis,False
146,Fashion,Middleton LLC,True
147,Books,"Wright, Lamb and Juarez",True
148,Electronics,"Craig, Banks and Walls",True
149,Books,Cunningham-Ramos,False
150,Electronics,"Williams, Calderon and Jenkins",False
151,Home,"Harrison, Humphrey and Daniels",True
152,Books,Clark-Torres,False
153,Books,Anderson-Nelson,False
154,Electronics,Kirby LLC,False
155,Home,"Francis, Rich and Bailey",True
156,Fashion,Coleman-Wheeler,True
157,Electronics,"Smith, Hughes and Burns",False
158,Fashion,Higgins and Sons,True
159,Fashion,Sanford PLC,False
160,Books,Burgess-Watts,False
161,Books,Miller and Sons,True
162,Books,Carroll LLC,True
163,Books,"Harmon, Brooks and Garcia",False
164,Home,Valenzuela Ltd,True
165,Fashion,Cortez LLC,True
166,Electronics,"Hardy, Jacobs and Anderson",True
167,Electronics,"Taylor, Watson and Harris",True
168,Books,Fowler Inc,False
169,Home,"Roberts, Bryan and Roberts",False
170,Books,"Patton, Kim and Jackson",True
171,Electronics,Dudley PLC,False
172,Electronics,"Burke, Parker and Brown",True
173,Home,Lyons Group,True
174,Electronics,"Pacheco, Moreno and Lee",False
175,Fashion,Morales Group,True
176,Electronics,Moore and Sons,False
177,Fashion,"Ray, Key and Oneill",False
178,Books,"Rivera, Mosley and Kennedy",True
179,Fashion,"Howard, Hernandez and Hall",False
180,Fashion,"Vega, Hernandez and Baldwin",False
181,Home,"Jarvis, Johnson and Bird",False
182,Fashion,Walker PLC,True
183,Books,Henderson-Reyes,False
184,Home,"Swanson, Smith and Flores",True
185,Electronics,"Owens, Thompson and Robertson",True
186,Home,Gibbs Group,True
187,Home,"Bullock, Webb and Marshall",True
188,Books,Wise Inc,True
189,Electronics,"Payne, Blair and Strickland",False
190,Home,Taylor-Strickland,False
191,Fashion,Barajas Ltd,True
192,Home,Richards-Stewart,False
193,Home,"Solis, Gutierrez and Ware",False
194,Electronics,Reyes Inc,False
195,Home,Brown LLC,False
196,Books,"Hammond, Jenkins and Liu",True
197,Home,Ball-Sandoval,True
198,Home,Armstrong-Levy,True
199,Fashion,Williams LLC,False
200,Books,"Jones, Baker and Cortez",True
201,Home,"Mata, Rodriguez and Coleman",False
202,Fashion,Yu LLC,False
203,Home,"Fitzgerald, Todd and Jennings",True
204,Books,"Riddle, Yates and Fox",True
205,Home,"Schroeder, Vang and Smith",True
206,Fashion,Shaw PLC,False
207,Electronics,Davis PLC,True
208,Electronics,Taylor-Smith,True
209,Electronics,Rivas-Turner,False
210,Books,"Douglas, Hernandez and Clark",True
211,Electronics,Long-Reyes,False
212,Home,Fletcher PLC,True
213,Home,Miller-Garcia,False
214,Home,"Perry, Harding and Baker",False
215,Books,"Cummings, Navarro and Combs",True
216,Books,Jennings-Wells,False
217,Books,Marshall-Morse,False
218,Electronics,"Lewis, White and Garcia",True
219,Home,Mullins-Curry,True
220,Home,Roberson-Logan,True
221,Home,"Brown, Escobar and Doyle",True
222,Electronics,Weaver-Santos,True
223,Fashion,"Finley, Lucas and Palmer",False
224,Home,Walker Inc,False
225,Books,Kent Ltd,False
226,Home,"Campbell, Stephens and Brown",False
227,Home,"Hubbard, Lindsey and Jackson",False
228,Books,King-Garcia,False
229,Books,Scott Group,True
230,Fashion,Simon-Wilson,False
231,Books,Robbins-Simmons,False
232,Electronics,Haynes PLC,True
233,Home,Adams and Sons,True
234,Books,"Williams, Douglas and Walker",False
235,Electronics,Murray-Bowen,True
236,Fashion,"Oconnell, Mooney and Woods",True
237,Electronics,Olson-Clark,False
238,Books,Moore and Sons,True
239,Electronics,Huffman LLC,False
240,Books,"Donovan, Howard and Ayala",True
241,Books,Rivas Ltd,True
242,Books,Taylor-Hamilton,False
243,Fashion,Griffin-Ryan,False
244,Fashion,Powell-Tate,True
245,Home,Smith and Sons,True
246,Home,Bennett Inc,True
247,Electronics,Combs-Phillips,False
248,Electronics,Elliott-Walker,False
249,Fashion,Rodriguez Ltd,True
250,Electronics,Dixon Inc,False
251,Electronics,"Green, Patel and Hernandez",False
252,Electronics,Thompson-Maynard,False
253,Electronics,Barnes LLC,True
254,Books,"Pitts, Davis and Hooper",False
255,Electronics,"Thompson, Singleton and Wheeler",False
256,Electronics,"Butler, Evans and Copeland",True
257,Books,Smith Ltd,False
258,Electronics,Miles-Bullock,False
259,Electronics,Mooney-Ortiz,False
260,Electronics,Wheeler-Owens,True
261,Books,Jimenez Inc,False
262,Books,"Schneider, Robbins and Cunningham",False
263,Fashion,Zimmerman-Diaz,True
264,Home,Payne-Davis,False
265,Books,Murray-Nelson,True
266,Books,Butler and Sons,True
267,Books,Anderson-Burns,False
268,Books,"Ward, Oneal and Warren",True
269,Fashion,Keller Ltd,True
270,Fashion,"Williams, Brown and Nunez",True
271,Books,"Fisher, Cooper and Gates",False
272,Books,King-Reyes,False
273,Fashion,Ellis-Henson,False
274,Fashion,Henderson LLC,False
275,Home,Mitchell PLC,False
276,Books,"Hall, Graham and Hughes",False
277,Fashion,Davis Ltd,False
278,Home,Young-Stanley,True
279,Fashion,Powell-Cole,True
280,Electronics,King Inc,False
281,Electronics,"Norton, Smith and Lewis",False
282,Home,"Harris, Clark and Madden",False
283,Home,Brock Group,False
284,Electronics,Howard and Sons,True
285,Fashion,"Perez, Williams and Johnson",True
286,Books,"Ferguson, Anderson and Thomas",False
287,Fashion,"Ferguson, Adams and Phillips",True
288,Electronics,Miller Inc,False
289,Books,"Green, Khan and Stephens",False
290,Electronics,Ford-Jones,False
291,Electronics,Cordova-Thornton,True
292,Fashion,"Walker, Holloway and Mendoza",False
293,Books,Patterson and Sons,False
294,Electronics,"Butler, Castro and Warner",True
295,Books,"Romero, Kelly and Ross",True
296,Books,Underwood LLC,False
297,Electronics,Pineda Ltd,False
298,Fashion,Cooper and Sons,True
299,Electronics,"Johnson, Sutton and Gilbert",False
300,Books,"Austin, Mcclure and Obrien",True
301,Books,Grant-Cook,True
302,Fashion,"Rodgers, Kelley and Clark",True
303,Electronics,Le PLC,False
304,Electronics,Lynch Ltd,True
305,Fashion,Dougherty-Bell,False
306,Electronics,Mosley Inc,True
307,Home,Woods and Sons,False
308,Electronics,Morris Ltd,False
309,Books,Wilson-Porter,False
310,Home,Richardson Inc,False
311,Electronics,"Rasmussen, Arnold and Mitchell",False
312,Electronics,Mcclure-Moreno,False
313,Electronics,Mills-Duran,True
314,Home,"Hill, Ramos and Hopkins",True
315,Books,Jordan-Hayes,True
316,Electronics,"Wyatt, Carter and Mendez",True
317,Books,"York, Kelly and Malone",True
318,Electronics,"Sheppard, May and Herrera",False
319,Electronics,Schaefer-Young,False
320,Electronics,Horton Ltd,False
321,Home,Riley Inc,True
322,Books,Davidson LLC,False
323,Books,Koch-Ferguson,True
324,Electronics,Hernandez-Baker,False
325,Books,Graham and Sons,True
326,Home,Baker-Bates,True
327,Electronics,"Miller, Wise and Smith",False
328,Books,Johnson and Sons,True
329,Electronics,"Price, Smith and Woods",False
330,Home,Solis Group,True
331,Home,Cook-Rodriguez,True
332,Home,"Perez, Bryant and Montgomery",False
333,Books,Tran Ltd,False
334,Books,Nolan Ltd,True
335,Home,Bruce-Thomas,True
336,Electronics,"Schultz, Scott and Meadows",True
337,Electronics,Barnett-Blake,True
338,Electronics,"Clark, Nguyen and Chavez",False
339,Electronics,Schmidt LLC,False
340,Electronics,"Lang, Lopez and Lucas",False
341,Home,Lewis PLC,False
342,Fashion,Harris-Valenzuela,True
343,Home,"Martinez, Graves and Avila",False
344,Books,"Cruz, Case and Jenkins",False
345,Home,Turner-Mckee,True
346,Home,Willis and Sons,False
347,Fashion,Newton-Buchanan,True
348,Home,Ortiz-Cook,True
349,Electronics,Thomas Group,True
350,Electronics,Brown Ltd,True
351,Books,"Cabrera, Shannon and Cuevas",True
352,Fashion,Blackburn-Taylor,False
353,Fashion,Cross Ltd,True
354,Books,"Meyer, Clay and Chapman",False
355,Books,"Shah, Young and York",True
356,Home,Noble-Roberson,False
357,Fashion,"Ward, Perez and Mora",False
358,Fashion,"Chung, Moore and Baxter",True
359,Home,"Garcia, Boyd and Palmer",False
360,Home,Nichols-Miller,True
361,Home,"Harris, Monroe and Miller",False
362,Fashion,Munoz Inc,True
363,Fashion,Foster LLC,True
364,Electronics,"Garcia, Espinoza and Molina",True
365,Home,Benson-Johns,False
366,Books,White PLC,False
367,Home,"Walker, Butler and Donovan",True
368,Home,"Gutierrez, Smith and Brown",True
369,Fashion,"Scott, Santos and Green",False
370,Home,Ryan-Reed,True
371,Fashion,Andrews-Montgomery,True
372,Books,Aguilar-Olson,False
373,Electronics,"Oconnor, Boone and Fowler",True
374,Books,"Solomon, Young and Salas",True
375,Electronics,Stewart-Gates,False
376,Home,Brock PLC,True
377,Home,Leonard-Baldwin,True
378,Fashion,Alexander PLC,True
379,Home,Taylor Group,True
380,Home,"Ramirez, Boyer and Sandoval",True
381,Electronics,Quinn Group,True
382,Home,"Torres, Miller and Flores",False
383,Books,Peters Inc,False
384,Books,Harris LLC,True
385,Electronics,Pittman-Hayes,False
386,Fashion,Glover-Barnes,True
387,Home,Hayden-Mills,True
388,Electronics,Turner-Davidson,False
389,Home,"Bennett, Price and Williams",False
390,Home,"Jordan, Lee and Ramirez",True
391,Home,Pittman-Carpenter,True
392,Home,Underwood and Sons,True
393,Books,Williams and Sons,True
394,Books,Adams LLC,True
395,Home,"Allen, Palmer and Miller",False
396,Books,"Harmon, Trevino and Wilson",True
397,Fashion,"Johnson, Shaw and Griffin",False
398,Electronics,Humphrey Group,False
399,Fashion,Scott LLC,False
400,Books,Arias LLC,True
401,Books,Bennett-Doyle,True
402,Electronics,Wright Group,False
403,Home,Rivera Ltd,True
404,Fashion,"Mills, Wagner and Davis",False
405,Fashion,Swanson-Nelson,True
406,Electronics,Bond Inc,False
407,Books,Jones LLC,False
408,Electronics,"White, Perez and Becker",True
409,Electronics,"Parks, Davis and Taylor",False
410,Fashion,Joseph-Thompson,True
411,Books,Steele-Rose,True
412,Fashion,Pope Ltd,False
413,Electronics,Harmon LLC,False
414,Books,Fleming-Scott,False
415,Home,Pena Inc,False
416,Books,"Anderson, Castillo and James",True
417,Books,Brennan-Weaver,True
418,Fashion,"Gregory, Sutton and Hunt",False
419,Books,"Schmidt, Ramirez and Davis",True
420,Electronics,Gutierrez-Juarez,False
421,Fashion,Palmer and Sons,True
422,Electronics,"Black, Collins and Cox",True
423,Fashion,Kelley LLC,True
424,Books,Beck-Reed,False
425,Books,Harmon-Reed,False
426,Fashion,Harrison-Perez,False
427,Books,"Hale, Johnson and Perez",False
428,Home,Edwards-Moody,False
429,Electronics,Jones-Le,True
430,Home,"Thompson, Hurst and Kim",False
431,Fashion,Anderson-Sandoval,True
432,Fashion,"Johnson, Hayden and Chang",True
433,Fashion,"Smith, Richardson and Wiggins",False
434,Books,"Miller, Williams and Phillips",False
435,Home,Dennis and Sons,True
436,Books,Brooks Inc,True
437,Fashion,Page Ltd,True
438,Books,King-Johnson,True
439,Books,Black-Thomas,True
440,Books,Campbell Group,True
441,Home,"Kramer, Hall and Kramer",False
442,Electronics,Jones Group,True
443,Books,Curtis LLC,True
444,Fashion,Bryan-Winters,True
445,Electronics,Nguyen-Walker,False
446,Fashion,Baxter-Warren,False
447,Electronics,Reyes-Stephens,False
448,Fashion,Harding-Holmes,False
449,Home,York-Perry,False
450,Electronics,Ali-Lin,True
451,Fashion,Miller Group,False
452,Fashion,"Williams, Lynch and Freeman",True
453,Home,Smith and Sons,False
454,Home,Grant-Scott,False
455,Fashion,"Rivera, Harding and Bishop",False
456,Electronics,Miles-Johnson,False
457,Home,Melton-Andrews,True
458,Fashion,Miller-Sherman,True
459,Home,Russell-Davidson,True
460,Electronics,Cruz PLC,False
461,Electronics,"Monroe, Caldwell and Martin",True
462,Electronics,"Webb, Ortiz and Guerra",True
463,Books,Baird LLC,True
464,Home,"Mata, Cole and Kelly",True
465,Fashion,Fuentes-Porter,False
466,Electronics,Kelly PLC,True
467,Books,"Jones, Hartman and Mcgee",True
468,Home,Evans Group,False
469,Home,Hensley Inc,False
470,Fashion,Foster Group,False
471,Fashion,Mills-Page,True
472,Fashion,Ortiz-Valencia,True
473,Books,"Williamson, Chavez and Austin",False
474,Books,"Williams, Parker and Bryant",False
475,Fashion,"Walker, Wallace and Cortez",True
476,Electronics,Contreras-James,True
477,Electronics,"Castaneda, Taylor and Sutton",False
478,Fashion,Roberts Inc,False
479,Fashion,"Evans, Finley and Cole",True
480,Books,Sullivan-Wilson,False
481,Home,"Smith, Keller and Jarvis",False
482,Home,Krause-Parker,True
483,Electronics,"Lopez, Gordon and Powell",True
484,Electronics,"Gonzalez, Patel and Thornton",True
485,Books,Henderson and Sons,False
486,Books,Miller-Munoz,True
487,Electronics,"Fisher, Bailey and Rose",True
488,Electronics,Lee-Johnson,True
489,Fashion,Nguyen-Sherman,False
490,Home,Carr LLC,False
491,Home,Collins Group,False
492,Electronics,Park PLC,True
493,Electronics,"Richardson, Brown and Martin",True
494,Fashion,Fuentes and Sons,True
495,Fashion,"Curtis, Burnett and Brooks",True
496,Books,Davis-Dickerson,True
497,Books,Shelton Group,True
498,Home,"Phillips, Moore and Cohen",True
499,Fashion,Marquez and Sons,True
500,Books,"Bailey, Wilson and Berry",False
501,Electronics,Gray-Barnes,True
502,Home,Rivera Ltd,True
503,Electronics,"Robertson, Myers and Johnson",False
504,Fashion,"Smith, Brady and Hernandez",True
505,Home,Mcdonald Inc,True
506,Books,"Morales, Robinson and Mitchell",False
507,Fashion,Mccall-Davis,False
508,Fashion,Curry-Franklin,False
509,Electronics,Kemp-Roberts,True
510,Electronics,Collins-Vance,False
511,Fashion,Parsons-Cook,True
512,Electronics,"Serrano, Andrews and Green",True
513,Electronics,Hoffman PLC,False
514,Fashion,Estes PLC,False
515,Electronics,"Reed, Logan and Estrada",True
516,Books,Gill-Jones,True
517,Fashion,Olsen PLC,True
518,Electronics,"Davis, Lee and Jones",True
519,Fashion,Davis-Hughes,False
520,Electronics,"Castillo, Holloway and Fletcher",True
521,Electronics,Henry-Manning,True
522,Home,Brandt-Johnson,True
523,Electronics,"Wade, Adkins and Miller",False
524,Books,Williams-Cain,False
525,Electronics,Herrera Group,True
526,Books,Hester-Velasquez,True
527,Books,"Gonzalez, Sims and Lee",False
528,Fashion,Richardson-Klein,False
529,Fashion,"Gutierrez, Thompson and Kelley",True
530,Home,"Campbell, Odonnell and Aguilar",False
531,Electronics,James LLC,True
532,Books,Oliver-Heath,True
533,Home,"Bell, Henson and Richardson",True
534,Fashion,"Morris, Merritt and Bailey",True
535,Home,"Pierce, Brewer and Mckay",True
536,Electronics,Thomas Inc,False
537,Fashion,"Young, Smith and Smith",False
538,Fashion,"Stewart, Smith and Baldwin",False
539,Electronics,Smith-Rivera,True
540,Home,Neal and Sons,False
541,Books,Davidson PLC,True
542,Books,Holland-Smith,True
543,Electronics,Clark LLC,False
544,Electronics,Richardson Ltd,False
545,Electronics,"Campbell, Smith and Stewart",True
546,Fashion,Brown-Ali,True
547,Electronics,Smith-Cruz,False
548,Books,Roberts LLC,True
549,Electronics,Gardner-Cox,True
550,Home,"Sherman, Gonzalez and Clark",True
551,Books,Howard-Orr,False
552,Electronics,Kelly-Ramirez,True
553,Home,"Williams, White and Mccann",False
554,Books,"Gardner, Richardson and Richardson",False
555,Fashion,"Mann, Long and Walters",True
556,Electronics,Davenport-Clark,True
557,Books,Mcgrath-Owens,True
558,Home,White Ltd,False
559,Home,Johns Ltd,True
560,Fashion,"Sanchez, Oconnell and Davis",True
561,Home,Ford-Hill,True
562,Electronics,Martinez Group,True
563,Home,Boyd Group,True
564,Books,Robbins PLC,True
565,Books,Stevenson Ltd,False
566,Home,Wolf-Collins,True
567,Electronics,"Young, Clark and Reynolds",False
568,Books,Brown and Sons,True
569,Electronics,Montoya PLC,False
570,Books,"Burnett, Bennett and Benson",False
571,Electronics,"Douglas, Johnson and Shaffer",True
572,Fashion,King Inc,False
573,Home,"Jones, Craig and Gordon",False
574,Home,Brandt and Sons,False
575,Home,Thomas and Sons,True
576,Electronics,Hopkins-Neal,True
577,Electronics,Carlson-Nguyen,True
578,Fashion,David PLC,True
579,Fashion,Flynn-Smith,True
580,Electronics,Rasmussen-Dunn,False
581,Home,"Ward, White and Patton",True
582,Electronics,Nelson Inc,False
583,Electronics,Black-Foster,True
584,Books,Wallace Group,False
585,Electronics,Brown LLC,False
586,Home,Ferguson-Schwartz,True
587,Fashion,"Newman, Jones and Calderon",False
588,Books,"James, Olson and Dawson",False
589,Home,"Petersen, Harris and Hernandez",True
590,Home,Allen Inc,False
591,Electronics,"Rojas, Spencer and Ross",False
592,Fashion,Page Group,True
593,Home,Allen-Price,True
594,Books,Patrick Group,False
595,Books,Brown-Schwartz,False
596,Fashion,Horn-Moore,True
597,Fashion,Dean Ltd,True
598,Home,Conley-Noble,False
599,Electronics,Anderson-Sanchez,True
600,Fashion,Campbell LLC,False
601,Home,"Wolf, Fox and Chapman",True
602,Home,"Chang, Smith and Taylor",False
603,Books,Davidson PLC,False
604,Electronics,Stephenson-Mendoza,False
605,Home,"Franklin, Powell and Flores",True
606,Books,"Smith, Hawkins and White",True
607,Books,"Lane, Hughes and Norris",False
608,Home,"Burke, Peters and Price",True
609,Electronics,Bryant-Lewis,False
610,Home,Blanchard-Mitchell,False
611,Home,Jones-Parker,True
612,Electronics,Cruz-Davis,True
613,Fashion,Wilkinson Inc,True
614,Books,Smith and Sons,False
615,Home,Chen-Preston,False
616,Fashion,"Jensen, Curtis and Howard",False
617,Books,"Short, Williams and Hernandez",False
618,Fashion,Burke-Baker,False
619,Fashion,Roberts Inc,False
620,Fashion,"Flores, Harris and Johnson",False
621,Electronics,Pena-Thompson,True
622,Electronics,Johnson-Hoover,True
623,Home,Schmidt-Jones,False
624,Electronics,Alvarez Group,True
625,Home,Mcneil-Taylor,False
626,Home,Miller-Becker,False
627,Electronics,Williams-Taylor,True
628,Fashion,"Gibson, Carter and Oconnor",False
629,Electronics,"Olson, Larson and Perez",False
630,Home,Howard-Owen,True
631,Books,Sanders and Sons,True
632,Books,"Tyler, Case and Sanchez",True
633,Fashion,"Reed, Johnson and Evans",True
634,Home,Haney Group,True
635,Home,Sanders-Snyder,False
636,Fashion,Hale-Brooks,True
637,Fashion,Padilla-Shelton,False
638,Electronics,"Wallace, Wright and Powell",False
639,Books,"Bailey, Lee and Shelton",True
640,Fashion,Thomas LLC,True
641,Home,Ford Group,False
642,Electronics,Alvarez-Butler,False
643,Home,Garcia-Caldwell,False
644,Electronics,Franklin Inc,True
645,Books,"Hebert, Arnold and Williams",True
646,Books,"Nash, Davis and Santiago",True
647,Home,Maldonado Ltd,False
648,Fashion,"Macias, Smith and Tran",True
649,Books,Murphy and Sons,True
650,Fashion,"Weber, Moody and Bailey",True
651,Books,Lawson Inc,True
652,Electronics,Trevino LLC,True
653,Books,Jones-Martinez,False
654,Books,Johnson Ltd,True
655,Fashion,Edwards and Sons,True
656,Books,Howell Inc,False
657,Books,Little-Moore,False
658,Books,Smith Ltd,False
659,Books,"Velez, Edwards and Greene",False
660,Books,Neal-Gould,False
661,Books,Fritz-Martinez,True
662,Home,"Mills, Kent and Gonzalez",True
663,Home,"Lawrence, Garcia and Collins",False
664,Electronics,Byrd LLC,True
665,Home,Cook-Sharp,True
666,Fashion,"Jackson, Bates and Moore",False
667,Books,Richardson-Bennett,True
668,Fashion,Williams PLC,False
669,Electronics,Robertson-Clark,True
670,Fashion,Kelly Group,False
671,Home,Cochran-Estrada,True
672,Home,Green-Walters,True
673,Fashion,West PLC,False
674,Home,Jackson Group,True
675,Electronics,Griffith-Peterson,True
676,Fashion,Munoz-Aguirre,False
677,Home,"Harvey, Howard and Martin",True
678,Electronics,Alvarez-King,True
679,Home,"Price, Erickson and Simpson",True
680,Fashion,Sanchez Ltd,True
681,Home,Anderson Inc,True
682,Electronics,Holmes-Cunningham,False
683,Books,Burns-Powell,True
684,Electronics,Contreras Inc,True
685,Electronics,"Ware, Leonard and Rivera",True
686,Home,Carr-Brown,True
687,Electronics,"Juarez, Fields and Saunders",False
688,Books,Herman-Ramirez,False
689,Books,Rogers-Wells,True
690,Electronics,Montoya Ltd,True
691,Electronics,"Strickland, Brooks and Martinez",False
692,Electronics,Torres-Taylor,False
693,Electronics,"Coleman, Flores and Jimenez",False
694,Electronics,Ramirez-Maynard,False
695,Books,Richard-Baker,False
696,Home,"Sanchez, Shannon and Hampton",False
697,Home,George Ltd,True
698,Books,Chavez PLC,True
699,Home,Lewis Inc,True
700,Books,"Zuniga, Smith and Cummings",False
701,Books,"Hill, Collins and Ballard",True
702,Home,Miller-Hardin,True
703,Electronics,"Carter, Sanders and Cooper",False
704,Home,Andrade-Ryan,False
705,Books,Garza-Young,False
706,Home,Hardin and Sons,False
707,Fashion,"Johnson, Jones and Hansen",False
708,Fashion,"Freeman, Clayton and Frazier",False
709,Fashion,Mendoza-King,True
710,Books,Smith-Robertson,True
711,Fashion,Mckinney-Young,False
712,Fashion,"Smith, Luna and Rice",False
713,Electronics,Reed-Vaughan,True
714,Electronics,Jennings-Leonard,True
715,Home,"Pineda, Myers and Butler",False
716,Books,Decker and Sons,False
717,Electronics,Holland-Barber,False
718,Electronics,Smith LLC,True
719,Home,Cooper-Burgess,True
720,Electronics,Shaw LLC,False
721,Books,"Berry, Zamora and Williams",True
722,Fashion,Cole-Macdonald,False
723,Books,Mack-Martinez,True
724,Books,Berry Inc,True
725,Home,Durham Group,True
726,Electronics,Bryant-Smith,False
727,Electronics,Reynolds-Stanley,True
728,Home,Davis-Sutton,True
729,Fashion,Brown-Saunders,False
730,Fashion,Blackburn-Scott,False
731,Home,Hernandez Ltd,True
732,Books,Ramirez LLC,True
733,Electronics,Atkinson-Adams,True
734,Fashion,Smith and Sons,True
735,Home,"Richardson, Gordon and Gilbert",True
736,Home,Buchanan Inc,True
737,Fashion,Chambers PLC,False
738,Books,Mack and Sons,True
739,Books,Ray Inc,True
740,Books,Lopez-Rogers,True
741,Electronics,Campbell-Garcia,True
742,Home,"Anderson, Nelson and Howell",False
743,Books,Cohen-Hobbs,True
744,Electronics,"Williams, Navarro and Green",False
745,Fashion,Weber Ltd,False
746,Books,"Scott, Fisher and Dyer",False
747,Fashion,Smith-Diaz,False
748,Home,"Clark, Hawkins and Garner",True
749,Home,"Olsen, Dickson and Fisher",False
750,Home,Davis Inc,False
